"UNIQUEID","StreetAddress","City","State","Zip"
"1","11002 Beach Blvd","Stanton","CA","90680"
"2","2983 Harbor Blvd","Costa Mesa","CA","92626"
"3","12893 Harbor Blvd, Ste C2","Garden Grove","CA","92840"
"4","9166 Bolsa Ave","Westminster","CA","92683"
"5","369 E 17th St, Ste 18","Costa Mesa","CA","92627"
"6","2100 W Oceanfront","Newport Beach","CA","92663"
"7","17851 Sky Park Cir, Ste F","Irvine","CA","92614"
"8","710 E Dyer Rd","Santa Ana","CA","92705"
"9","242 N Coast Hwy","Laguna Beach","CA","92651"
"10","10495 Bolsa Ave, Ste 108","Westminster","CA","92683"
"11","3100 E Frontera St","Anaheim","CA","92806"
"12","18685 Main St, Ste 103","Huntington Beach","CA","92648"
"13","12111 Valley View St","Garden Grove","CA","92845"
"14","1914 E Chapman Ave","Orange","CA","92867"
"15","10877 Los Alamitos Blvd","Los Alamitos","CA","90720"
"16","13771 Newport Ave, Ste 12","Tustin","CA","92780"
"17","570 S Brookhurst","Anaheim","CA","92804"
"18","2145 E Ball Rd","Anaheim","CA","92806"
"19","109 W Lambert Rd","Brea","CA","92821"
"20","2683 Harbor Blvd","Costa Mesa","CA","92626"
"21","1673 Irvine Ave","Costa Mesa","CA","92627"
"22","1621 N Placentia Ave","Fullerton","CA","92831"
"23","16971 Goldenwest St","Huntington Beach","CA","92647"
"24","6010 Warner Ave","Huntington Beach","CA","92647"
"25","6012 Edinger Ave","Huntington Beach","CA","92647"
"26","20562 Regency Ln, Ste A","Lake Forest","CA","92630"
"27","1920 W Balboa Blvd","Newport Beach","CA","92663"
"28","2245 W Chapman Ave","Orange","CA","92868"
"29","2249 S El Camino Real","San Clemente","CA","92672"
"30","2242 S Grand Ave","Santa Ana","CA","92705"
"31","1203 S Standard Ave","Santa Ana","CA","92707"
"32","12505 Beach Blvd, Ste A1","Stanton","CA","90680"
"33","16919 Pacific Coast Hwy","Sunset Beach","CA","90742"
"34","611 W Katella Ave","Anaheim","CA","92802"
"35","2180 W Ball Rd","Anaheim","CA","92804"
"36","2790 E Lincoln","Anaheim","CA","92806"
"37","8725 Orangethorpe Ave","Buena Park","CA","90621"
"38","1000 W Orangethorpe Ave","Fullerton","CA","92833"
"39","301 S Brookhurst Rd","Fullerton","CA","92833"
"40","3259 Associated Rd","Fullerton","CA","92835"
"41","8471 Chapman Ave","Garden Grove","CA","92841"
"42","8472 Indianapolis Ave","Huntington Beach","CA","92646"
"43","7012 Edinger Ave","Huntington Beach","CA","92647"
"44","8492 Warner Ave","Huntington Beach","CA","92647"
"45","8462 Moody St","La Palma","CA","90623"
"46","24401 Ridge Route Dr, Ste 101-A","Laguna Hills","CA","92653"
"47","25758 La Paz Rd","Laguna Hills","CA","92653"
"48","27001 Moulton Pkwy, Ste A120","Laguna Hills","CA","92656"
"49","10772 Los Alamitos Blvd","Los Alamitos","CA","90720"
"50","3951 W Ball Rd","Los Alamitos","CA","90720"
"51","23012 Los Alisos Blvd","Mission Viejo","CA","92691"
"52","27271 Trabuco Rd","Mission Viejo","CA","92691"
"53","4221 MacArthur Blvd, Ste B1","Newport Beach","CA","92660"
"54","3197 N Glassell St","Orange","CA","92865"
"55","108 W Katella Ave, Ste A","Orange","CA","92867"
"56","26572 Junipero Serra Rd","San Juan Capistrano","CA","92675"
"57","1700 E Dyer Rd","Santa Ana","CA","92705"
"58","2910 S Main St","Santa Ana","CA","92707"
"59","15991 Magnolia Ave","Westminster","CA","92683"
"60","6501 Westminster Blvd","Westminster","CA","92683"
"61","17465 Imperial Hwy","Yorba Linda","CA","92886"
"62","9575 Valley View St","Cypress","CA","90630"
"63","535 N Commonwealth Ave","Fullerton","CA","92831"
"64","403 S Brookhurst","Fullerton","CA","92833"
"65","1744 S Main St","Santa Ana","CA","92707"
"66","2241 N Fairview St","Santa Ana","CA","92706"
"67","24601 Raymond Way, Ste 9B","Lake Forest","CA","92630"
"68","117 N Glassell St","Orange","CA","92866"
"69","3333 Fairview Rd","Costa Mesa","CA","92626"
"70","1761 S Harbor Blvd","Anaheim","CA","92802"
"71","1177 S State College Blvd, Ste A","Anaheim","CA","92806"
"72","2530 W La Palma Ave","Anaheim","CA","92801"
"73","25380 Marguerite Pkwy, Ste A","Mission Viejo","CA","92692"
"74","16691 Gothard St, Ste K","Huntington Beach","CA","92647"
"75","8081 Starr St","Stanton","CA","90680"
"76","2710 Alton Pkwy, Ste 113","Irvine","CA","92606"
"77","13662 Newport Ave, Ste C","Tustin","CA","92780"
"78","1402 Sycamore Ave","Tustin","CA","92780"
"79","1830 Main St","Irvine","CA","92614"
"80","12901 N Harbor Blvd, Ste A2-A","Garden Grove","CA","92840"
"81","2947 W Ball Rd","Anaheim","CA","92804"
