Id,Address,City,State,Zip,Google_lat,Google_long,Here_lat,Here_long,Tamu_lat,Tamu_long,Maplarge_lat,Maplarge_long,Uscensus_long,Uscensus_lat,Geonames_lat,Geonames_long
1,11002 Beach Blvd,Stanton,CA,90680,33.8025849,-117.9927614,33.80256,-117.99267,33.8025583,-117.9926666,33.8028,-117.9928,33.802845,-117.99303,33.80288,-117.99303
2,2983 Harbor Blvd,Costa Mesa,CA,92626,33.6797744,-117.9196596,33.67974,-117.91971,33.679758,-117.9197158,33.67943333,-117.9196,33.67945,-117.91944,33.67958,-117.91944
3,"12893 Harbor Blvd, Ste C2",Garden Grove,CA,92840,33.7764976,-117.9186843,33.7768,-117.91858,33.7767847,-117.918621,33.77580269,-117.9178965,33.775555,-117.91802,33.77626,-117.91671
4,9166 Bolsa Ave,Westminster,CA,92683,33.7443935,-117.9692682,33.7444599,-117.96916,33.7444519,-117.9691595,33.74445343,-117.969162,33.744762,-117.96874,33.74477,-117.96844
5,"369 E 17th St, Ste 18",Costa Mesa,CA,92627,33.6308993,-117.9134974,33.63145,-117.91328,33.6368736,-117.9077498,33.63209474,-117.9143413,33.632267,-117.914215,33.63132,-117.91284
6,2100 W Oceanfront,Newport Beach,CA,92663,33.6085353,-117.928753,33.60853,-117.92876,33.60851138,-117.9289969,33.6085,-117.9291,33.607986,-117.92859,33.6081,-117.92866
7,"17851 Sky Park Cir, Ste F",Irvine,CA,92614,33.6914644,-117.856876,33.69148,-117.85679,33.6914765,-117.8567875,33.6911507,-117.8569619,,,33.68828,-117.85667
8,710 E Dyer Rd,Santa Ana,CA,92705,33.707855,-117.8555482,33.70808,-117.85574,33.708091,-117.8557015,33.70809174,-117.8557053,33.708607,-117.85968,33.70861,-117.85967
9,242 N Coast Hwy,Laguna Beach,CA,92651,33.5434655,-117.7868616,33.5435256,-117.787088,33.54904086,-117.7990174,33.54384242,-117.7882848,33.542145,-117.78384,33.5438,-117.78818
10,"10495 Bolsa Ave, Ste 108",Westminster,CA,92683,33.745351,-117.9464557,33.74538,-117.94656,33.7453538,-117.9465533,33.7453537,-117.9465561,33.744995,-117.94633,33.74499,-117.9468
11,3100 E Frontera St,Anaheim,CA,92806,33.8470745,-117.8524342,33.8470299,-117.85249,33.8469653,-117.8523152,33.84701157,-117.8524933,33.846462,-117.85407,33.84744,-117.85293
12,"18685 Main St, Ste 103",Huntington Beach,CA,92648,33.6918335,-117.9928043,33.6917226,-117.9921717,33.6908197,-117.9931329,33.69229899,-117.9912684,33.69219,-117.99143,33.69152,-117.99218
13,12111 Valley View St,Garden Grove,CA,92845,33.7866448,-118.0294936,33.7866799,-118.02932,33.786683,-118.0293223,33.78668213,-118.0293198,33.786766,-118.0285,33.7871,-118.0285
14,1914 E Chapman Ave,Orange,CA,92867,33.787631,-117.8333356,33.7875,-117.83332,33.7874102,-117.8332853,33.7875061,-117.8333282,,,33.78783,-117.83455
15,10877 Los Alamitos Blvd,Los Alamitos,CA,90720,33.8044462,-118.0721382,33.8043,-118.07226,33.8041588,-118.0722829,33.80471752,-118.0722,33.80461,-118.07196,33.80407,-118.07195
16,"13771 Newport Ave, Ste 12",Tustin,CA,92780,33.7415941,-117.820694,33.7405988,-117.8199726,33.741261,-117.8202172,33.74126053,-117.8202209,33.740513,-117.81998,33.74112,-117.81935
17,570 S Brookhurst,Anaheim,CA,92804,33.8254899,-117.9585676,33.8253766,-117.9588051,33.8254728,-117.958497,33.82539565,-117.9587,33.82555,-117.95892,33.82633,-117.95893
18,2145 E Ball Rd,Anaheim,CA,92806,33.8183752,-117.8864118,33.8182349,-117.886488,33.8182988,-117.8864221,33.81829834,-117.8864212,33.8181,-117.886986,33.8181,-117.88748
19,109 W Lambert Rd,Brea,CA,92821,33.9252969,-117.8964759,33.92522,-117.8965,33.9252211,-117.8965003,33.92522049,-117.8964996,,,33.9248,-117.89641
20,2683 Harbor Blvd,Costa Mesa,CA,92626,33.67021,-117.9197512,33.6700734,-117.9194549,33.67020443,-117.919418,33.67018776,-117.9195,33.669987,-117.919334,33.66978,-117.91932
21,1673 Irvine Ave,Costa Mesa,CA,92627,33.6278485,-117.910002,33.62794,-117.90996,33.6279421,-117.9099742,33.62794113,-117.9099731,33.627964,-117.90917,33.62805,-117.90907
22,1621 N Placentia Ave,Fullerton,CA,92831,33.8871975,-117.8756241,33.88709,-117.87546,33.8870917,-117.875501,33.88709259,-117.8755035,33.889103,-117.87459,33.88911,-117.87457
23,16971 Goldenwest St,Huntington Beach,CA,92647,33.7158312,-118.0070731,33.71595,-118.00699,33.7159349,-118.0070064,33.71593475,-118.0070038,33.716,-118.00661,33.71654,-118.00661
24,6010 Warner Ave,Huntington Beach,CA,92647,33.7146617,-118.0234934,33.71486,-118.02301,33.7144582,-118.0229523,33.71445847,-118.0229492,33.71536,-118.0236,33.71537,-118.02286
25,6012 Edinger Ave,Huntington Beach,CA,92647,33.729589,-118.0237091,33.72966,-118.02376,33.7296654,-118.0237819,33.72966385,-118.0237808,33.729946,-118.023895,33.72996,-118.02308
26,"20562 Regency Ln, Ste A",Lake Forest,CA,92630,33.6641809,-117.6650041,33.663682,-117.6653985,33.66364143,-117.6653477,33.6635847,-117.6653694,33.663574,-117.66541,33.66365,-117.66553
27,1920 W Balboa Blvd,Newport Beach,CA,92663,33.6085975,-117.9267995,33.60851,-117.92683,33.60821307,-117.9264983,33.60829049,-117.9264077,33.60816,-117.92658,33.60826,-117.92677
28,2245 W Chapman Ave,Orange,CA,92868,33.7880811,-117.8768144,33.7882,-117.87678,33.78797299,-117.8764962,33.78819656,-117.8767776,33.787888,-117.87651,33.78788,-117.87655
29,2249 S El Camino Real,San Clemente,CA,92672,33.4149902,-117.6001343,33.4148934,-117.6003107,33.41539454,-117.6007212,33.41538804,-117.6006517,33.415337,-117.600784,33.43546,-117.637
30,2242 S Grand Ave,Santa Ana,CA,92705,33.7163427,-117.8513592,33.7161643,-117.8507049,33.71668864,-117.8506747,33.71668392,-117.8508,,,33.71774,-117.85056
31,1203 S Standard Ave,Santa Ana,CA,92707,33.733178,-117.8559475,33.73316,-117.8562751,33.73357697,-117.8562998,33.73357778,-117.8564,33.733585,-117.856384,33.73351,-117.85639
32,"12505 Beach Blvd, Ste A1",Stanton,CA,90680,33.7805738,-117.9936765,33.78069,-117.99349,33.7806853,-117.9934908,33.78109796,-117.9931,,,33.78103,-117.99285
33,16919 Pacific Coast Hwy,Sunset Beach,CA,90742,33.7161654,-118.0688842,33.7162197,-118.0686215,33.7162077,-118.0688138,33.7165,-118.0687,,,,
34,611 W Katella Ave,Anaheim,CA,92802,33.8037964,-117.9158068,33.8035549,-117.9156055,33.8037686,-117.9157932,33.80376816,-117.9157944,33.80333,-117.91565,33.80332,-117.91642
35,2180 W Ball Rd,Anaheim,CA,92804,33.8174865,-117.9585137,33.8174,-117.95848,33.8172913,-117.9583525,33.81729126,-117.9583511,33.817772,-117.95787,33.8178,-117.95561
36,2790 E Lincoln,Anaheim,CA,92806,33.8367443,-117.8721218,33.83679,-117.87202,33.8367944,-117.872207,33.6967,-117.7745,,,33.83717,-117.87214
37,8725 Orangethorpe Ave,Buena Park,CA,90621,33.8596151,-117.9807743,33.85958,-117.98087,33.8595844,-117.9808779,33.85958481,-117.9808807,,,,
38,1000 W Orangethorpe Ave,Fullerton,CA,92833,33.8588364,-117.9424529,33.85897,-117.94225,33.8589826,-117.9422425,33.85898209,-117.9422455,33.859337,-117.94202,33.85933,-117.94312
39,301 S Brookhurst Rd,Fullerton,CA,92833,33.8663082,-117.9599133,33.8663772,-117.9595249,33.8665143,-117.9595,33.8663,-117.9594,33.866486,-117.95942,33.86631,-117.9594
40,3259 Associated Rd,Fullerton,CA,92835,33.9101371,-117.8805875,33.91008,-117.88063,33.9079908,-117.8810109,33.90806493,-117.8811179,33.908054,-117.880844,33.90864,-117.88056
41,8471 Chapman Ave,Garden Grove,CA,92841,33.788756,-117.9844989,33.78874,-117.98451,33.788756,-117.984499,33.78875732,-117.9844971,33.788425,-117.9847,,
42,8472 Indianapolis Ave,Huntington Beach,CA,92646,33.6645725,-117.9802264,33.66458,-117.98018,33.66485138,-117.9801653,33.66472161,-117.9800889,33.664932,-117.98025,33.66492,-117.98068
43,7012 Edinger Ave,Huntington Beach,CA,92647,33.7296229,-118.0063032,33.72974,-118.00638,33.7297207,-118.0063515,33.72972107,-118.0063553,33.73007,-118.00621,33.73009,-118.00487
44,8492 Warner Ave,Huntington Beach,CA,92647,33.7152492,-117.9809574,33.71526,-117.98093,33.7153773,-117.9808838,33.71537781,-117.9808807,33.715664,-117.98077,33.71567,-117.98139
45,8462 Moody St,La Palma,CA,90623,33.8393146,-118.0453899,33.8391103,-118.0457051,33.83939398,-118.0457744,33.83939545,-118.0457,33.83949,-118.04586,33.83961,-118.04587
